WKT,name,description
"POINT (110.4738762 -7.1764785)",Kabupaten Semarang,
"POINT (110.4120729 -6.9818006)",Kota Semarang,
"POINT (109.1363519 -6.8752088)",Kota Tegal,
"POINT (110.8250266 -7.5695177)",Kota Surakarta,
"POINT (110.5084366 -7.3305234)",Kota Salatiga,
"POINT (109.6745916 -6.8898362)",Kota Pekalongan,
"POINT (110.2176941 -7.4797342)",Kota Magelang,
"POINT (109.9001796 -7.3632094)",Kabupaten Wonosobo,
"POINT (111.0460407 -7.8846484)",Kabupaten Wonogiri,
"POINT (110.175507 -7.3162486)",Kabupaten Temanggung,
"POINT (109.140438 -6.9902371)",Kabupaten Tegal,
"POINT (110.8346925 -7.6840776)",Kabupaten Sukoharjo,
"POINT (111.0236051 -7.4217589)",Kabupaten Sragen,
"POINT (111.336609 -6.7107021)",Kabupaten Rembang,
"POINT (110.0113011 -7.713122)",Kabupaten Purworejo,
"POINT (109.3641117 -7.3889418)",Kabupaten Purbalingga,
"POINT (109.3833397 -6.8922774)",Kabupaten Pemalang,
"POINT (109.5819864 -7.0299054)",Kabupaten Pekalongan,
"POINT (111.0391743 -6.7551919)",Kabupaten Pati,
"POINT (110.2543812 -7.5578321)",Kabupaten Magelang,
"POINT (110.8434287 -6.8101198)",Kabupaten Kudus,
"POINT (110.6024261 -7.7045068)",Kabupaten Klaten,
"POINT (110.2026738 -6.9318072)",Kabupaten Kendal,
"POINT (109.6517709 -7.6689916)",Kabupaten Kebumen,
"POINT (110.9406407 -7.596526)",Kabupaten Karanganyar,
"POINT (110.6744625 -6.5839397)",Kabupaten Jepara,
"POINT (110.9161605 -7.0827934)",Kabupaten Grobogan,
"POINT (110.6377893 -6.8938944)",Kabupaten Demak,
"POINT (109.0091014 -7.727388)",Kabupaten Cilacap,
"POINT (109.0369223 -6.8710738)",Kabupaten Brebes,
"POINT (110.6105907 -7.5356011)",Kabupaten Boyolali,
"POINT (111.4155985 -6.9699876)",Kabupaten Blora,
"POINT (109.7364632 -6.9098672)",Kabupaten Batang,
"POINT (109.2305607 -7.4241491)",Kabupaten Banyumas,
"POINT (109.547997 -7.4414007)",Kabupaten Banjarnegara,
