WKT,name,description
"POINT (112.7468147 -7.0288341)",Kabupaten Bangkalan,
"POINT (114.3691416 -8.2190944)",Kabupaten Banyuwangi,
"POINT (112.2028429 -8.1190982)",Kabupaten Blitar,
"POINT (111.8830035 -7.1560228)",Kabupaten Bojonegoro,
"POINT (113.8209185 -7.917746)",Kabupaten Bondowoso,
"POINT (112.6489208 -7.1678035)",Kabupaten Gresik,
"POINT (113.701892 -8.1714023)",Kabupaten Jember,
"POINT (112.2333899 -7.5560486)",Kabupaten Jombang,
"POINT (112.0847125 -7.7672006)",Kabupaten Kediri,
"POINT (112.4154877 -7.1201126)",Kabupaten Lamongan,
"POINT (113.2244077 -8.1356117)",Kabupaten Lumajang,
"POINT (111.6513345 -7.5402435)",Kabupaten Madiun,
"POINT (111.3272058 -7.6582857)",Kabupaten Magetan,
"POINT (112.5684428 -8.1326141)",Kabupaten Malang,
"POINT (112.5421887 -7.5063944)",Kabupaten Mojokerto,
"POINT (111.9004342 -7.6025181)",Kabupaten Nganjuk,
"POINT (111.4303882 -7.4051539)",Kabupaten Ngawi,
"POINT (111.1026272 -8.1937917)",Kabupaten Pacitan,
"POINT (113.482402 -7.1606148)",Kabupaten Pamekasan,
"POINT (112.7845743 -7.5975024)",Kabupaten Pasuruan,
"POINT (111.4640532 -7.8708575)",Kabupaten Ponorogo,
"POINT (113.4162417 -7.7607875)",Kabupaten Probolinggo,
"POINT (113.2466541 -7.1952472)",Kabupaten Sampang,
"POINT (112.7027733 -7.4518053)",Kabupaten Sidoarjo,
"POINT (114.0053716 -7.7062259)",Kabupaten Situbondo,
"POINT (113.8579972 -7.0160505)",Kabupaten Sumenep,
"POINT (111.7096992 -8.0483247)",Kabupaten Trenggalek,
"POINT (112.0650643 -6.8949951)",Kabupaten Tuban,
"POINT (111.9641728 -8.091221)",Kabupaten Tulungagung,
"POINT (112.526969 -7.8716295)",Kota Batu,
"POINT (112.1653259 -8.0987767)",Kota Blitar,
"POINT (112.016627 -7.849206)",Kota Kediri,
"POINT (111.5288143 -7.6312288)",Kota Madiun,
"POINT (112.6326321 -7.9666204)",Kota Malang,
"POINT (112.4401329 -7.4704747)",Kota Mojokerto,
"POINT (112.8999225 -7.6469193)",Kota Pasuruan,
"POINT (113.2037131 -7.7764226)",Kota Probolinggo,
"POINT (112.7520883 -7.2574719)",Kota Surabaya,
